CMPD_CHEMBLID,processed_smiles,exp,smiles,inchi,Stereo,duplicate
CHEMBL596271,Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,YKMSTUDOGGAEJH-UHFFFAOYSA-N,,False
CHEMBL1951080,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,JCIHGZJEMNHEET-UHFFFAOYSA-N,20_?,False
CHEMBL1771,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,GKTWGGQPFAXNFI-HNNXBMFYSA-N,4_S,False
CHEMBL234951,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,UICNBXVDHCBKCE-PUODRLBUSA-N,3_?|13_R,False
CHEMBL565079,Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,UJBBWPQMJVUYPP-INIZCTEOSA-N,7_S,False
CHEMBL317462,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,MWHQFRXYYJSIFR-UHFFFAOYSA-N,1_?|17_?|20_?,False
CHEMBL1951182,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,PXTMNXYTOSYHIH-UHFFFAOYSA-N,,False
CHEMBL2030960,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,AYXKDCNGRBXXLP-FQEVSTJZSA-N,15_S,False
CHEMBL13097,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,PVVORTURQPBPEQ-UHFFFAOYSA-N,,False
CHEMBL1527751,Oc1ncnc2scc(-c3ccsc3)c12,2.25,Oc1ncnc2scc(c3ccsc3)c12,DUKSWLVZNWKJAU-UHFFFAOYSA-N,,False
CHEMBL1940306,CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,SBZWCADMWCTYJD-QFIPXVFZSA-N,15_S|18_?|21_?,False
CHEMBL578201,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,FLYNZEXUURBXAW-JTQLQIEISA-N,9_S,False
